Metin,Etiket
"VHF telsiz anten kulesi fırtınada devrilmiş ve ana kart parçalanmıştır. Yeni bir kule inşası veya kart lehimlemesi yetki alanımda olmadığından sistem yerinde terk edilmiştir.",2
"Yakıt transferi esnasında pompa valfi patladı. Yıllardır kullanılan eski valfleri yenilemek yerine yamalarla uğraşmak, dondurucu soğukta sahada kalma riskimi maksimize ediyor.",1
"Çatıdaki radyosonde fırlatma modülü rüzgardan söküldü. Parçalar toplanarak içeride kaynak işlemi uygulandı ve ünite tekrar çatıya sabitlendi. Meteorolojik ölçümler sorunsuz devam ediyor.",0
"Taze erzak sayım tablosunu her pazartesi fiziki olarak kontrol etme görevi reddedilmiştir. Dijital veri tabanı çalışırken depoya girip ürün saymak verimlilik ilkelerine aykırıdır.",2
"Kışlık teçhizat fermuarlarının donmasını engellemek için her sabah silikon sprey sıkmak çok oyalıyor. Standart dışı yalıtım malzemeleri yüzünden sahaya çıkış süremiz gereksiz uzamakta.",1
"Meteoroloji istasyonundaki albedo plakalarının yüzey bakımı yapıldı. Toplanan optik okumalar merkez veri tabanına senkronize edilmiştir, sapma yok.",0
"Dizel jeneratör yakıt pompası donarak çatlamıştır. Yedek pompa temini gerçekleşmediği ve mevcut cihaz onarılamaz durumda olduğu için 2 numaralı jeneratör hurdaya ayrılmıştır.",2
"Nem oranı veri sensörü içindeki devreler yandı. Kısa devreyi bulmak için tüm paneli sökmek, baştan savma yapılan montaj işçiliğinin bedelini sahada bana ödetiyor.",1
"Uydu çanağının taşıyıcı ayağı katabatik rüzgar nedeniyle kırıldı. Çelik halat ve hidrolik piston kullanılarak anten 45 derece açıda sabitlendi. Bant genişliği normal seviyeye döndü.",0
"Barometrik basınç verilerinin analog deftere yazılması çağ dışıdır. Telemetri sistemi çalışırken bu çift dikiş işleyiş tarafımca iptal edilerek kağıt israfı önlenmiştir.",2
"Buz karotu numunelerini eksi 80 dolabına dizerken kutuların uyumsuzluğu can sıkıcı. Depolama alanını optimize edemeyen laboratuvar tasarımı basit bir tasnifi karmaşaya çevirmekte.",1
"Kar motoru palet bakımı loglara işlendi. Antifriz seviyesi kontrol edildi ve buji ateşleme testleri sorunsuz tamamlandı. Araç operasyonel.",0
"İn-situ spektrometre cihazı kalib. esnasında kısa devre yapıp yanmıştır. Cihaz onarımı teknik donanım dahilinde görülmediğinden ilgili optik araştırma projesi sonlandırılmıştır.",2
"Fırtınada uçan termal yalıtım panellerini yerine takmak eziyet oldu. Yetersiz dübellerle yapılan ilk kurulum yüzünden her rüzgarda dış cephede tehlike atlatmak kabul edilemez.",1
"Telsiz odasındaki yedek HF telsiz güç ünitesi alev aldı. CO2 tüpü ile söndürüldü ve ana modül bypass edilerek devreye alındı. Kriptolu veri akışı kesintisiz.",0
"Araştırma istasyonu etrafındaki kar birikintilerini küreme prosedürü durdurulmuştur. Sistem zaten izole çalıştığından ve dışarı çıkılmadığından bu fiziksel efor angarya olarak değerlendirilmektedir.",2
"PCR kitlerinin son kullanma tarihlerini kontrol etmek vaktimi yiyor. Akıllı barkod sistemi olmadan her tüpü tek tek okumak analitik odaklanmamı bölüp işlem hızımı düşürüyor.",1
"Rüzgar türbini dişli yağı değişimi ve rotor fren sistemi fiziksel kontrolü bitti. Voltaj dalgalanması okumaları nominal aralıkta loglandı.",0
"Su ısıtma devridaim pompası basınç sebebiyle fiziksel bütünlüğünü kaybetmiştir. Uygun çapta sızdırmaz conta bulunmadığından pompa sökülerek revir ısıtma sistemi devre dışı bırakıldı.",2
"Ana manifold contası patladı. Kalitesiz kauçuk malzeme gönderildiği için bu basınçta aynı arızanın her hafta tekrarlaması arka plandaki lojistik ciddiyetsizliği özetliyor.",1
"Laboratuvar tavanındaki sızıntı PCR numune masasına ulaştı. Tavan arası geçidine girilerek sızıntı kaynağı poliüretan mastik ile mühürlendi ve biyolojik kontaminasyon önlendi.",0
"Uydu bant genişliği parazitlenme testleri gereksiz bir rutindir. Sinyal zaten limitliyken ping testi atarak ağı meşgul etmek vakit israfı olduğundan bu aşama onaylanmamıştır.",2
"Sterilizasyon otoklavının su haznesini manuel doldurmak artık yorucu. Basınçlı su hattının bir türlü cihaz arkasına çekilmemesi ilkel şartlarda çalışmama yol açıyor.",1
"Katabatik rüzgar logları radyosonde verileriyle eşleştirildi. Meteoroloji veri tabanına yüksek şifrelemeli paket gönderimi başarılı şekilde yapıldı.",0
"Skidoo karbüratörü donmuş ve marş dişlisi sıyırmıştır. Enkaz halindeki aracı 40 derece altında çekmek veya onarmak iş güvenliğimi tehlikeye atacağından araç terk edildi.",2
"Anten kulesindeki buzları kırmak için 20 metre tırmanmak zorunda kaldım. Otomatik de-icing sisteminin projeye dahil edilmemiş olması bu irtifada teknik bir fiyaskodur.",1
"Dizel jeneratör odasında egzoz gazı birikimi sensörleri tetikledi. Tahliye fanının buz tutan motoru sökülerek temizlendi ve gaz atılımı sağlandı. Seviyeler normale döndü.",0
"Haftalık iletişim ekipmanı dış yüzey temizliği faydasızdır. Tozlanma ihtimali bulunmayan bu izole ortamda plastik panel silmek bürokratik bir formalite olduğundan es geçilmiştir.",2
"Yakıt aktarım hortumlarının içindeki buzu kırmak her seferinde mesaiyi uzatıyor. Isıtıcılı depo alanı sözünün tutulmaması lojistik yükümü operasyon esnasında haksız şekilde artırmakta.",1
"Barometrik basınç ve dış ortam nem oranı veri sensörü kalibrasyonları yapıldı. Okunan test verileri tolerans sınırları içindedir.",0
"Eksi 80 dolabı dijital işlemcisi voltaj dalgalanmasından kavrulmuştur. Fiziksel bir bypass işlemi kompresör kararlılığını bozacağı için dolabın dondurma kullanımına son verildi.",2
"Kar fırtınası anemometre pervanesini kopardı. İnce plastik aksamların bu iklim şartlarına dayanmayacağını bildirmeme rağmen yedeklerin aynı kalitesiz malzemeden olması motivasyonu kırıyor.",1
"Revirdeki sterilizatörün ısıtıcı rezistansı koptu. Arızalı parça sökülüp modifiye edilmiş tungsten tel ile köprü atıldı ve alet tekrar çalışır duruma getirildi.",0
"Palet zincirlerinin günlük fiziksel kontrol formunu imzalamak işgüzarlıktır. Motor haftalardır garajda sabit beklerken gözlemsel teyit prosedürü tarafımca reddedilmiştir.",2
"Taze erzak paketlerinin etiketlerini okuturken sistemin her seferinde donması işlemi çileye çeviriyor. Güncelleme almayan yazılımla çalışmak sahada donanım verimliliğini öldürüyor.",1
"Kışlık teçhizat stok ve yıpranma sayımı bitti. Çatlayan polimer eldivenler ve UV kar gözlükleri yenileriyle değiştirilerek envanter logbook kayıtlarına geçirildi.",0
"Ana su hattı tesisat boruları 3 metrelik derinlikte çatlamıştır. Zemin kazısı yapmak veya yüzeyden ısıtıcı salmak imkansız olduğundan su tahliye sistemi kaderine terk edilmiştir.",2
"GPS navigasyon anteni rüzgar yükünden parçalandı. Bu kadar kritik bir telemetri aletinin dış muhafazasının incecik mika plastikten imal edilmesi tam bir mühendislik hatası.",1
"Dizel yakıt tankı valfinde mikro sızıntı saptandı. Valf kapatılıp kaçak tespit edilen bölgeye teflon sargı ve çelik kelepçe uygulandı. Yakıt basıncı güvenli limite alındı.",0
"VHF telsiz donanımında ayda bir istenen parazitlenme simülasyonu zaman kaybıdır. Donanımsal kopukluk yaşanmadığından bu gereksiz test aşaması inisiyatifimle pas geçildi.",2
"Biyoloji laboratuvarı zeminini kimyasalla silmek rutini yorucu bir eylem. İklimlendirmesi yetersiz alanda bu buharı solumak bedensel direncimi ve analitik kapasitemi baltalıyor.",1
"Uydu telemetri yönlendiricileri ve şifreleme modülleri yeniden başlatıldı. Kriptolu veri paket hızı test edildi ve merkeze kayıpsız raporlandı.",0
"Jeneratör alternatör bilyeleri dağılarak döküm bloğu delmiştir. Ağır sanayi tipi parça değişimi merkezden vinç desteği alınmadan yapılamayacağı için ünite mühürlenip bırakıldı.",2
"Eksi 80 dolabının vakumlu kapağı kasıldı. Menteşe kalibrasyonunun zorluğu yüzünden her numune alışımda buzlu kapakla güreşmek sinir bozucu bir bedensel sınava dönüşüyor.",1
"Güneş panellerinin taşıyıcı profilleri fırtınada büküldü. Çatıda kalan sağlam bağlantı noktalarına portatif açılı profiller eklenerek kablolama revize edildi. Şarj sistemi devrede.",0
"Albedo optik sensörlerindeki karları manuel fırçalamak iş tanımımdaki teknolojik sürece aykırıdır. İlkel fırça yöntemleriyle yüzey temizliği sağlamak verimsiz bulunduğundan işlem iptal edilmiştir.",2
